online_order_id,online_class_id,user_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,45
46,46,46
47,47,47
48,48,48
49,49,49
50,50,50
51,51,51
52,52,52
53,53,53
54,54,54
55,55,55
56,56,56
57,57,57
58,58,58
59,59,59
60,60,60
61,61,61
62,62,62
63,63,63
64,64,64
65,65,65
66,66,66
67,67,67
68,68,68
69,69,69
70,70,70
71,71,71
72,72,72
73,73,73
74,74,74
75,75,75
76,76,76
77,77,77
78,78,78
79,79,79
80,80,80
81,81,81
82,82,82
83,83,83
84,84,84
85,85,85
86,86,86
87,87,87
88,88,88
89,89,89
90,90,90
91,91,91
92,92,92
93,93,93
94,94,94
95,95,95
96,96,96
97,97,97
98,98,98
99,99,99
100,100,100
101,101,101
102,102,102
103,103,103
104,104,104
105,105,105
106,106,106
107,107,107
108,108,108
109,109,109
110,110,110
111,111,111
112,112,112
113,113,113
114,114,114
115,115,115
116,116,116
117,117,117
118,118,118
119,119,119
120,120,120
121,121,121
122,122,122
123,123,123
124,124,124
125,125,125
126,126,126
127,127,127
128,128,128
129,129,129
130,130,130
131,131,131
132,132,132
133,133,133
134,134,134
135,135,135
136,135,1
137,134,2
138,133,3
139,132,4
140,131,5
141,130,6
142,129,7
143,128,8
144,127,9
145,126,10
146,125,11
147,124,12
148,123,13
149,122,14
150,121,15
151,120,16
152,119,17
153,118,18
154,117,19
155,116,20
156,115,21
157,114,22
158,113,23
159,112,24
160,111,25
161,110,26
162,109,27
163,108,28
164,107,29
165,106,30
166,105,31
167,104,32
168,103,33
169,102,34
170,101,35
171,100,36
172,99,37
173,98,38
174,97,39
175,96,40
176,95,41
177,94,42
178,93,43
179,92,44
180,91,45
181,90,46
182,89,47
183,88,48
184,87,49
185,86,50
186,85,51
187,84,52
188,83,53
189,82,54
190,81,55
191,80,56
192,79,57
193,78,58
194,77,59
195,76,60
196,75,61
197,74,62
198,73,63
199,72,64
200,71,65
201,70,66
202,69,67
203,68,68
204,67,69
205,66,70
206,65,71
207,64,72
208,63,73
209,62,74
210,61,75
211,60,76
212,59,77
213,58,78
214,57,79
215,56,80
216,55,81
217,54,82
218,53,83
219,52,84
220,51,85
221,50,86
222,49,87
223,48,88
224,47,89
225,46,90
226,45,91
227,44,92
228,43,93
229,42,94
230,41,95
231,40,96
232,39,97
233,38,98
234,37,99
235,36,100
236,35,101
237,34,102
238,33,103
239,32,104
240,31,105
241,30,106
242,29,107
243,28,108
244,27,109
245,26,110
246,25,111
247,24,112
248,23,113
249,22,114
250,21,115
251,20,116
252,19,117
253,18,118
254,17,119
255,16,120
256,15,121
257,14,122
258,13,123
259,12,124
260,11,125
261,10,126
262,9,127
263,8,128
264,7,129
265,6,130
266,5,131
267,4,132
268,3,133
269,2,134
270,1,135
