online_review_id,online_order_detail_id,user_id,online_class_id,online_review_content,online_review_date,online_review_rate
1,1,4387,1,오늘 까지 배송해달라고 했는데 딱 맞춰서 해주셔서 감사했어요ㅠ 잘나와서 좋아요ㅋㅋㅋㅋㅋ,2021-02-05,50
2,2,4388,1,친구들 실습 선물로 줬는데 깔끔하고 좋아요~!,2020-10-28,50
3,3,4389,1,커스텀의 매력이 딱 살아있어요 깔끔하고 이쁩니다,2020-08-30,50
4,4,4390,1,"히힣ㅎ
너무 이뻐요!! 친구한테 얼른 주고싶어용👍🏻",2020-07-19,50
5,5,4391,1,"동생이 이거 갖고싶다 해서 
어린이날 선물로 사줬는데 대만족함 
엄청이쁘다함",2020-05-04,50
6,6,4392,1,"딱 받았을 때 거울이 눈에 띄더라구요! 크기가 작으면 어쩌나 걱정했는데 생각보다 크기도 작지 않고 덕당해서 너무 좋았고, 글씨도 너무너뮤 귀여웠어요 ㅠㅠ 이제 누가봐도 제 친구인걸 알겠네용 👌",2020-03-17,50
7,7,4393,1,"문구하나가 오타가 났지만ㅠㅠ
정말 귀엽고 깜찍한 선물이에요!!",2020-02-08,50
8,8,4394,1,"(장점) 1. 택배포장이 센스있고 예뻐서 송장 떼고 박박 씻어서 그대로 선물했어요
2. 엽서랑 예쁜 사은품도 챙겨주심
3. 필수품을 커스터마이징해서 회사에서 부담없이 선물하기 좋게 만든 아이디어
(단점) 1. 거의 보름 걸린 배송(타이밍 놓쳐 선물하기 민망)

배송 빼고는 단점이 없습니다.
완전 만족스러워요!",2019-12-24,50
9,9,4395,1,원하는 대로 잘 보내주셨어요ㅎㅎㅎ맘에 들어요 담에도 재구매하고 싶네용,2019-04-22,50
10,10,4396,1,"제작과 발송 과정에서 착오가 있었지만, 작가님께서 빠르게 처리해주셔서 무사하게 크리스마스에 선물할 수 있었습니다.^^ 선물 받으신 분들이 넘넘 좋아하셔서 저도 선물을 받는 기분이었습니다. 의미 있는 선물 할 수 있도록 해주셔서 정말 감사합니다🤗😘",2018-12-24,50
11,11,4397,2,동생 부부 임신 축하선물로 준비했는데 마음에 들어해서 저도 기분이 좋네요^^ 선물이라 사진은 없지만 ♥️ 하트 모양 각인해주셔서 감사합니다 ☺️,2021-02-12,50
12,12,4398,2,"진ㅉ넘나 친절하시구 배송도 빨라요 !
선물용으로 샀는데 나중에 제꺼도 장만해야겠어요 👍",2021-02-06,50
13,13,4399,2,"친구 생일선물로 구매했는데 맘에 들어하네용 ㅎㅎ 이름을 각인할 수 있어서 더 의미있는 것 같아요!
메시지로 이것저것 여쭤봤는데 답변도 친절하게 해주셔요🤍",2021-02-05,50
