order_detail_id,order_id,product_id,author_id,option_info,product_num,product_detail_price
1,1,1,1,1번째 옵션정보입니다,7,5000
2,2,1,1,2번째 옵션정보입니다,6,2000
3,3,1,1,3번째 옵션정보입니다,2,19000
4,4,1,1,4번째 옵션정보입니다,5,6000
5,5,1,1,5번째 옵션정보입니다,6,10000
6,6,1,1,6번째 옵션정보입니다,7,12000
7,7,1,1,7번째 옵션정보입니다,3,11000
8,8,1,1,8번째 옵션정보입니다,7,12000
9,9,1,1,9번째 옵션정보입니다,4,4000
10,10,1,1,10번째 옵션정보입니다,5,19000
11,11,2,2,11번째 옵션정보입니다,8,1000
12,12,2,2,12번째 옵션정보입니다,4,5000
13,13,2,2,13번째 옵션정보입니다,2,2000
14,14,2,2,14번째 옵션정보입니다,4,14000
15,15,2,2,15번째 옵션정보입니다,5,17000
16,16,2,2,16번째 옵션정보입니다,7,5000
17,17,2,2,17번째 옵션정보입니다,7,7000
18,18,2,2,18번째 옵션정보입니다,1,1000
19,19,2,2,19번째 옵션정보입니다,3,13000
20,20,2,2,20번째 옵션정보입니다,1,15000
21,21,3,3,21번째 옵션정보입니다,9,2000
22,22,3,3,22번째 옵션정보입니다,1,9000
23,23,3,3,23번째 옵션정보입니다,4,3000
24,24,3,3,24번째 옵션정보입니다,7,15000
25,25,3,3,25번째 옵션정보입니다,1,8000
26,26,3,3,26번째 옵션정보입니다,6,7000
27,27,3,3,27번째 옵션정보입니다,7,6000
28,28,3,3,28번째 옵션정보입니다,9,9000
29,29,3,3,29번째 옵션정보입니다,5,19000
30,30,3,3,30번째 옵션정보입니다,7,11000
31,31,4,4,31번째 옵션정보입니다,7,10000
32,32,4,4,32번째 옵션정보입니다,6,12000
33,33,4,4,33번째 옵션정보입니다,4,18000
34,34,4,4,34번째 옵션정보입니다,9,9000
35,35,4,4,35번째 옵션정보입니다,3,2000
36,36,4,4,36번째 옵션정보입니다,8,18000
37,37,4,4,37번째 옵션정보입니다,4,14000
38,38,4,4,38번째 옵션정보입니다,5,15000
39,39,4,4,39번째 옵션정보입니다,6,10000
40,40,4,4,40번째 옵션정보입니다,9,5000
41,41,5,5,41번째 옵션정보입니다,9,9000
42,42,5,5,42번째 옵션정보입니다,6,17000
43,43,5,5,43번째 옵션정보입니다,4,11000
44,44,5,5,44번째 옵션정보입니다,1,19000
45,45,5,5,45번째 옵션정보입니다,9,9000
46,46,5,5,46번째 옵션정보입니다,3,13000
47,47,5,5,47번째 옵션정보입니다,6,19000
48,48,5,5,48번째 옵션정보입니다,9,9000
49,49,5,5,49번째 옵션정보입니다,7,6000
50,50,5,5,50번째 옵션정보입니다,9,18000
51,51,6,6,51번째 옵션정보입니다,3,7000
52,52,6,6,52번째 옵션정보입니다,6,9000
53,53,6,6,53번째 옵션정보입니다,8,1000
54,54,6,6,54번째 옵션정보입니다,7,14000
55,55,6,6,55번째 옵션정보입니다,2,13000
56,56,6,6,56번째 옵션정보입니다,9,5000
57,57,6,6,57번째 옵션정보입니다,7,7000
58,58,6,6,58번째 옵션정보입니다,4,2000
59,59,6,6,59번째 옵션정보입니다,1,8000
60,60,6,6,60번째 옵션정보입니다,2,9000
61,61,7,7,61번째 옵션정보입니다,9,5000
62,62,7,7,62번째 옵션정보입니다,8,4000
63,63,7,7,63번째 옵션정보입니다,2,2000
64,64,7,7,64번째 옵션정보입니다,4,10000
65,65,7,7,65번째 옵션정보입니다,4,15000
66,66,7,7,66번째 옵션정보입니다,1,19000
67,67,7,7,67번째 옵션정보입니다,4,11000
68,68,7,7,68번째 옵션정보입니다,2,1000
69,69,7,7,69번째 옵션정보입니다,1,8000
70,70,7,7,70번째 옵션정보입니다,6,7000
71,71,8,8,71번째 옵션정보입니다,9,5000
72,72,8,8,72번째 옵션정보입니다,6,16000
73,73,8,8,73번째 옵션정보입니다,1,19000
74,74,8,8,74번째 옵션정보입니다,8,6000
75,75,8,8,75번째 옵션정보입니다,2,5000
76,76,8,8,76번째 옵션정보입니다,5,16000
77,77,8,8,77번째 옵션정보입니다,9,13000
78,78,8,8,78번째 옵션정보입니다,8,15000
79,79,8,8,79번째 옵션정보입니다,9,14000
80,80,8,8,80번째 옵션정보입니다,9,18000
81,81,9,9,81번째 옵션정보입니다,1,3000
82,82,9,9,82번째 옵션정보입니다,4,17000
83,83,9,9,83번째 옵션정보입니다,4,1000
