review_id,order_detail_id,user_id,product_id,review_content,review_date,review_rate
1,1,3005,1,500g을 먼저 구매했다가 너무나 금방 다 먹어버려서 1kg로 바로 재주문 했습니다. 청의 농도나 딸기의 씹힘 정도가 딱 저희 집 취향에 맞는 것 같아요~! 좋은 제품 맛있게 잘 먹고 있습니다. 많이 파세요,2021-02-18,50
2,2,3006,1,ㅎㅎㅎㅎ라떼해먹었는데 참 맛있고 딸기가 톡톡씹혀서 엄청좋아용♡ 딸기도 신선한거같고!! 스벅잔에 담아먹으니 스벅에서 사온거같고 기분좋네용^@^ㅎㅎ많이파세용~,2021-02-18,50
3,3,3007,1,시럽이 달달한것같아용 딸기는 새콤하네요! 새콤한게 좀 강하긴한데ㅠㅜ 그냥 우유만 마시면 또 단것도같구 이건 탄산수랑 어울릴것같아요 ,2021-02-18,50
4,4,3008,1,좋아하셨어요,2021-02-18,50
5,5,3009,1,좋아하셨어요,2021-02-18,50
6,6,3010,1,딸기우유해먹으면 맛있어요,2021-02-18,50
7,7,3011,1,"와~~대박입니다. 설선물로 4사람한테 선물했는데...다들 맛있다하네요. 한분은 저를 친구추천으로 해주시며 오늘 다시 주문하신다고 하고요.  
달기도 좋고...깔끔한 맛..많이 많이 번창해가세요. ",2021-02-18,50
8,8,3012,1,"구매 3일차.
다먹었습니다.
혼자 한잔 두잔 마시다가 어느샌가 다 사라져버렸어요
일단 딸기가 반이아니라 3분의2는 딸기같아요
씹히는감이 많았고 달고 맛있습니다.
 그리고 청이다 보니까 본인이 혼자 당도 조절해 먹는 맛도 있고요
지금 또 시킬까 고민이에요...지갑 조여야하는데 자꾸 풀리려하네;;",2021-02-18,50
9,9,3013,1,벌써 반이나 먹어버렸어요 너무너무 맛있어요 카페 갈 필요가 없어요 코로나로부터 안전하게 홈카페 즐겨요~^^,2021-02-18,50
10,10,3014,1,맛잇죠♡♡ 딸기에이드해서 자주 먹어요♡♡,2021-02-18,50
11,11,3015,2,"예비며느리입니다
커피좋아하시는 시어머니에게 드리려고 주문했어요
작가님도 킹왕짱 친절하시고 요청사항 다 들어주셔서 감사합니다
좋은제품 구입해서 좋아효❤
금욜날 시어머니만나니 냉장보관잘해서 선물드릴거에요❤❤❤",2021-02-18,50
12,12,3016,2,"카페에서 일년바리스타로 일했었는데 원두바로갈아서 에쏘내려서먹었을때 향과크레마 맛이 정말그대로예요
보통 에쏘내려서 조금시간이지나면 크레마도죽고 향도옅어지는데 정말이건대박이네요
카페커피 요새못먹었었는데 바로내린 에스프레소 느낌 정말 오랫만이네요ㅜㅜ
다크하고 신맛없는맛좋아하는데 정말취향저격입니다
추천 백만번합니다",2021-02-18,50
13,13,3017,2,"맛없으면 반품이라고 써있길래 
맛없으면 반품해야지 하고 나쁜 생각했는데
먹자마자 그런 생각 없어지네욤...
아린이도 반할 부드러운맛 띠옹-💘",2021-02-18,50
14,14,3018,2,커피 진짜 맛있어요!! 대용량인데 금방 마셔서 아쉬워요 또 주문하려구요 ㅠㅠ,2021-02-18,50
15,15,3019,2,"원두.... 진짜.. 너무 맛있습니다 사장님ㅠㅠ 
계량컵에 두컵해서 얼음넣고 물넣고 해서 항상 마시는데 진짜 커피집에서 마시는맛이예요 아침마다 이 커피때문에 힘이 납니다ㅠㅠ 감사합니다 너무 맛있어요ㅠㅠ♥️♥️♥️♥️ 
다 마시면 또 올게요🌝💛",2021-02-18,50
16,16,3020,2,맛있어요~!! 진하고 좋은데.. 사장님 왜 저는 무료시음 안주셨나요ㅠ,2021-02-17,50
17,17,3021,2,"두번째 구매하러왔어요.
잘마실게요! 향이 너무좋아요 *-*♡ 다마시면 또올게요!",2021-02-17,50
18,18,3022,2,"말이필요없어요 재구매3번째
이거정말맛있어요 굿굿",2021-02-17,50
19,19,3023,2,어제 받아서 오늘 처음 먹어봤어요.  너~~무 맛있더라구요. 요즘 홈쇼핑에 원두커피머신 나와서 하나 지를까 했는데 그럴필요 없을듯요.  앞으로 이  커피 시켜먹으려구요. 잘 먹을께요,2021-02-17,50
20,20,3024,2,진짜진짜 넘 맛있어요. 제입에 완벽하게 맞아요. 앞으로 커피는 여기가 종착역입니다.,2021-02-17,50
21,21,3025,3,요거트에도 넣고 우유에도 넣고 잘 먹고 있어요 정제설탕이 안들어가서 부담이 없어요 !,2021-02-18,50
22,22,3026,3,"배송도 빠르고 포장도 안전하게 왔어요.
선물용이라 아직 맛이 어떤지는 모르겠는데 나중에 친구한테 물어봐야겠어요~",2021-02-18,50
23,23,3027,3,"카페가면 무조건 딸기라떼만 먹는사람인데 넘 비싸기도 하고 집콕중에 공부하면서 먹으려고 시켰어요! 
배송도 빨리왔고 우유에 타서 먹으니까 진짜 카페에서 먹던 그맛! 
달고 맛있었어요 ㅠㅠㅠ 딱 제가 좋아하는 맛 !
인공적인 맛도 아니고안에 들어있던 딸기도 상태도 좋고, 이거 다 먹으면 또 시키려구요 💕💕",2021-02-18,50
24,24,3028,3,"전먹어보지도못햇어요..
ㅠㅠㅠㅠㅠ 남편이 우유 500미리 2개사와서 
우유 500에 딸기청 반넣고 순삭 
다음날먹어야지 햇는데 새벽에 또 순삭햇다네요^^
하 한입만남겨주지ㅠㅜㅠ

그럼이만 다시시키러갑니다 총총",2021-02-18,50
25,25,3029,3,맛있어요~~계속 먹고싶어지네요^^,2021-02-18,50
26,26,3030,3,요즘 텀블러에 딸기청으로 생딸기우유만들어서 회사 가져가는게 낙이에요! 진짜 존맛탱 ㅠㅠ 🍓🍓🍓,2021-02-18,50
