카테고리아이디,작품아이디,작가아이디,작품이름,가격,적립금,구매후기수,즐겨찾기수,옵션수
1,1,❤설날선물세트할인 (2/8발송)❤ 딸기청 딸기우유 라떼,0,12900,451,1443,18998,3
1,2, 설 전 수령 ❤ 포장무료 ❤ 바른 딸기청 ,0,12900,451,1111,6233,3
1,3,[설날선물]🌸5종+1종랜덤증정🌸미니꽃차5종세트🌸,0,21250,743,571,10945,3
1,4,⚡설날전수령⚡발렌타인설날선물더치커피6종선물세트 3+1 ,0,10300,360,584,6153,3
1,5,[⭐주말출고⭐]알록달록💕12종더치커피세트,0,17900,626,1711,16641,3
1,6,주말출고설날선물세트발렌타인(1+1+1)더치커피,0,12500,437,2172,9531,3
1,7,시음공짜❤️고소한 에스프레소 커피 원액 500ml,0,11980,419,981,4140,3
1,8,[⭐주말출고⭐]알록달록💕24종더치커피세트,0,35500,1242,1366,17479,3
1,9,[설날선물]🌸꽃차집게증정+꽃차5종샘플세트🌸,0,25000,875,53,578,3
1,10,[💖설날명절선물세트] 주말출고⚡️ 더치커피선물 🎁,0,37000,1295,78,2717,3
1,11,설날선물 더치커피 콜드브루원액세트,0,9900,346,1621,9613,3
1,12,🔥오늘마감❗설날특가🔥대용량 더치커피 발렌타인 선물,0,10500,367,2783,7632,3
1,13,설날선물세트❤수제청❤설날 선물세트❤답례품❤설날❤,0,10000,350,444,5687,3
1,14,달보드레 수제식혜,0,2500,87,256,1925,3
