,카테고리아이디,작품아이디,작품이름,가격,적립금,구매후기수,즐겨찾기수,옵션수,작가아이디
0,1,1,❤설날선물세트할인 (2/8발송)❤ 딸기청 딸기우유 라떼,12900,451,1443,18993,3,1
1,1,2, 설 전 수령 ❤ 포장무료 ❤ 바른 딸기청 ,12900,451,1111,6230,3,2
2,1,3,[설날선물]🌸5종+1종랜덤증정🌸미니꽃차5종세트🌸,21250,743,570,10943,3,3
3,1,4,⚡설날전수령⚡발렌타인설날선물더치커피6종선물세트 3+1 ,10300,360,584,6152,3,4
4,1,5,[⭐주말출고⭐]알록달록💕12종더치커피세트,17900,626,1711,16639,3,5
5,1,6,주말출고설날선물세트발렌타인(1+1+1)더치커피,12500,437,2172,9530,3,6
6,1,7,시음공짜❤️고소한 에스프레소 커피 원액 500ml,11980,419,981,4139,3,7
7,1,8,[⭐주말출고⭐]알록달록💕24종더치커피세트,35500,1242,1366,17479,3,8
8,1,9,[설날선물]🌸꽃차집게증정+꽃차5종샘플세트🌸,25000,875,53,574,3,9
9,1,10,설날전수령⚡발렌타인.설날선물세트 더치커피 문구제작파우치,1000,35,97,2985,3,10
10,1,11,[💖설날명절선물세트] 주말출고⚡️ 더치커피선물 🎁,37000,1295,78,2715,3,11
11,1,12,설날선물 더치커피 콜드브루원액세트,9900,346,1621,9612,3,12
12,1,13,🔥오늘마감❗설날특가🔥대용량 더치커피 발렌타인 선물,10500,367,2783,7632,3,13
13,1,14,설날선물세트❤수제청❤설날 선물세트❤답례품❤설날❤,10000,350,444,5685,3,14
